# identity	kind - unit | technology | building | animal | unknown
# Regenerate with: python -m tools.classify_queue_icons
# Hand-verified rows are preserved; unknown is honest, not lazy.
arbalest	technology
arbalester	unit
archaic_age	technology
archer	unit
archery_district_1	technology
archery_district_2	technology
archery_district_3	technology
archery_range	building
architecture	technology
arrow_slits	technology
arrowslits	technology
arson	technology
artemisias_siege	technology
assassination	technology
atonement	technology
ballistics	technology
banking	technology
barracks	building
barracks_district_1	technology
barracks_district_2	technology
barracks_district_3	technology
battering_ram	unit
battle_drills	technology
battle_elephant	unit
bireme	unit
blacksmith	building
blacksmith_district_1	technology
blacksmith_district_2	technology
blacksmith_district_3	technology
blackwood_archer	unit
blast_furnace	technology
block_printing	technology
bloodlines	technology
bodkin_arrow	technology
bombard_cannon	unit
bombard_tower	building
bow_saw	technology
bracer	technology
camel_rider	unit
camelrider	unit
cannon_galleon	unit
cannon_galleon_upgrade	technology
capped_ram	unit
capped_ram_upgrade	technology
caravan	technology
careening	technology
carrack	unit
cartography	technology
carvel_hull	technology
castle	building
castle_age	technology
castle_age_unique	technology
catapult_galleon	unit
cavalier	unit
cavalier_research	technology
cavalier_upgrade	technology
cavalry_archer	unit
cavalryarcher	unit
ceasefire	technology
chain_barding	technology
chain_barding_armor	technology
chain_mail_armor	technology
champi_runner	unit
champi_runner_upgrade	technology
champi_scout	unit
champi_warrior	unit
champi_warrior_upgrade	technology
champion	unit
champion_upg	technology
champion_upgrade	technology
chemistry	technology
chu_ko_nu	unit
civic_age	technology
classical_age	technology
clinker_construction	technology
coinage	technology
conscription	technology
cow	animal
crop_rotation	technology
crossbowman	unit
crossbowman_upgrade	technology
dark_age	technology
de_armored_elephant	unit
de_camel_scout	unit
de_doi_elephant_archer	unit
de_siege_elephant	unit
defensive_emplacement	technology
defensive_satrapy	technology
democracy	technology
demolition_ship	unit
demolition_ship_upgra	technology
demoraft	unit
demoship	unit
devotion	technology
diplomatic_gift	technology
dock	building
domestication	technology
double-bit_axe	technology
double_bit_axe	technology
dragon_ship	unit
dragonship	unit
dromon	unit
druzhina_effect	technology
dry_dock	technology
eagle_scout	unit
eagle_warrior	unit
eagle_warrior_upg	technology
eaglescout	unit
eaglewarrior	unit
eastern_fortification_1	technology
eastern_fortification_2	technology
eastern_fortification_3	technology
economic_satrapy	technology
elephant_archer	unit
elite_battle_elephant	unit
elite_battle_elephant_upg	technology
elite_battle_elephant_upgrade	technology
elite_cannon_galleon	unit
elite_cannon_galleon_resear	technology
elite_cannon_galleon_upgrade	technology
elite_champi_warrior	unit
elite_champi_warrior_upgrade	technology
elite_conquistador	unit
elite_eagle_warrior	unit
elite_eagle_warrior_upg	technology
elite_eaglewarrior	unit
elite_elephant_archer	unit
elite_fire_lancer	unit
elite_fire_lancer_upgrade	technology
elite_guardsman	unit
elite_hoplite	unit
elite_lembos	unit
elite_longbowman	unit
elite_mangudai	unit
elite_skirmisher	unit
elite_skirmisher_upgrade	technology
elite_steppe_lancer	unit
elite_steppe_lancer_upg	technology
elite_unique_unit	unit
elite_war_chariot	unit
elite_war_dog	unit
elitesteppelancer	unit
emergency_conscription	technology
ephorate	technology
exorcism	technology
faith	technology
farm	building
fast_fire_ship	unit
fastfireship	unit
fervor	technology
festival_op	technology
feudal_age	technology
fire_archer	unit
fire_galley	unit
fire_lancer	unit
fireship	unit
fish_trap	building
fishing_lines	technology
fishing_ship	unit
flaming_arrows	technology
flemish_militia	unit
fletching	technology
folwark	building
forging	technology
fortified_outpost_upgrade	technology
fortified_wall	building
galleon	unit
galleon_upg	technology
galleon_upgrade	technology
galley	unit
gambesons	technology
garden_district	technology
gate	building
gbeto	unit
gillnets	technology
goat	animal
gold_mining	technology
gold_shaft_mining	technology
goose	animal
guardsman	unit
guecha_warrior	unit
guilds	technology
halberdier	unit
halberdier_upgrade	technology
hand_cannoneer	unit
hand_cart	technology
haruspicy	technology
heated_shot	technology
heavy_camel	unit
heavy_camel_rider	unit
heavy_camel_upg	technology
heavy_cav_archer	unit
heavy_cavalry_archer_resear	technology
heavy_demolition_ship	unit
heavy_hei_guang_cavalry	unit
heavy_hei_guang_cavalry_upgrade	technology
heavy_incendiary_ship	unit
heavy_lembos	unit
heavy_plow	technology
heavy_rocket_cart	unit
heavy_rocket_cart_upgrade	technology
heavy_scorpion	unit
heavy_scorpion_upgrade	technology
heavy_warships	technology
heavycamelrider	unit
heavycavalryarcher	unit
heavydemoship	unit
heavyscorpion	unit
hei_guang_cavalry	unit
hemlock	technology
herbal	technology
herbal_medicine	technology
heresy	technology
high_tribute	technology
hippagretai	unit
hire_archery_mercenaries	technology
hire_cavalry_mercenaries	technology
hire_infantry_mercenaries	technology
hoardings	technology
horse_collar	technology
houfnice	unit
house	building
hulk	unit
husbandry	technology
hussar	unit
hussar_upgrade	technology
hussite_wagon	unit
hypozomata	technology
ibirapema_warrior	unit
illumination	technology
imperial_age	technology
imperial_camel	unit
imperial_cavalry	unit
imperial_skirmisher	unit
imperial_skirmisher_upg	technology
incendiaries	technology
increase_damage	technology
infantry_2_pikeman	unit
iron_casting	technology
jaguar_warrior	unit
janissary	unit
karambit_warrior	unit
knight	unit
kona	unit
kopis	technology
kotthybos	technology
laminated_bowman	technology
leather_archer_armor	technology
legionary	unit
light_cavalry	unit
light_cavalry_research	technology
light_cavalry_upgrade	technology
lighthouse	technology
long_swordman_upg	technology
long_swordsman	unit
longbowman	unit
longswordsman	unit
loom	technology
lou_chuan	unit
low_tribute	technology
lumber_camp	building
lumber_district_1	technology
lumber_district_2	technology
lumber_district_3	technology
lysanders_mercenaries	technology
maceman	unit
man-at-arms	unit
man_at_arms	unit
man_at_arms_upg	technology
mangonel	unit
mangudai	unit
market	building
market_district_1	technology
market_district_2	technology
market_district_3	technology
masonry	technology
medium_tribute	technology
medium_warships	technology
military_satrapy	technology
militia	unit
mill	building
mill_district_1	technology
mill_district_2	technology
mill_district_3	technology
mining_camp	building
mining_district_1	technology
mining_district_2	technology
mining_district_3	technology
missionary	unit
monastery	building
monk	unit
morai	technology
murder_holes	technology
mystery_cults	technology
mystery_tech	technology
navel_power_to_gold	technology
northern_fortification_1	technology
northern_fortification_2	technology
northern_fortification_3	technology
offensive_emplacement	technology
oligarchy	technology
onager	unit
onager_ship	unit
onager_upgrade	technology
outpost	building
padded_archer_armor	technology
paladin	unit
paladin_research	technology
